Block number: 12; Target: 44909784;    Solution: 83356910
0: 6;         1: 6;         


Block number: 11; Target: 50847771;    Solution: 44909784
0: 6;         1: 5;         


Block number: 10; Target: 16466049;    Solution: 50847771
0: 6;         1: 4;         


Block number: 9; Target: 60798451;    Solution: 16466049
0: 5;         1: 4;         


Block number: 8; Target: 66577943;    Solution: 60798451
0: 4;         1: 4;         


Block number: 7; Target: 50728224;    Solution: 66577943
0: 4;         1: 3;         


Block number: 5; Target: 87867880;    Solution: 50728224
0: 4;         1: 2;         


Block number: 4; Target: 19557788;    Solution: 87867880
0: 4;         1: 1;         


Block number: 3; Target: 26566926;    Solution: 19557788
0: 3;         1: 1;         


Block number: 2; Target: 37025723;    Solution: 26566926
0: 3;         1: 0;         


Block number: 1; Target: 66574386;    Solution: 37025723
0: 2;         1: 0;         


A total of 11 blocks were printed
